user,title,head
慘過番印度,是靚午 法國紅酒慢煮阿根廷牛舌 配 煙肉洋蔥炒著仔,法國紅酒慢煮阿根廷牛舌 配 煙肉洋蔥炒著仔#wail#pig\n（$60-5）#wail#pig\n\n講吓味道先#wail#pig\n牛舌有成5大塊#wail#pig\n已經煮到好淋#wail#pig\n入口很香，幾乎即化#wail#pig\n配埋個酸酸地嘅紅酒汁解膩一流#wail#pig\n同炒著仔都很夾#wail#pig\n有脷有著有菜#wail#pig\n又是健康嘅一餐#wail#pig\n食完條脷根好C伏#wail#pig
慘過番印度,是靚午 仙台風燒牛舌定食,仙台風燒牛舌定食#wail#pig\n（$63）#wail#pig\n\n講吓味道先#wail#pig\n牛舌佢話有120g#wail#pig\n大幾5-6片#wail#pig\n有2舊嘅口感係最好#wail#pig\n好嫩滑易咬#wail#pig\n其實4舊口感比較普通#wail#pig\n燒得幾香，油香唔算勁，但都有#wail#pig\n醬汁都好入味#wail#pig\n溏心強整得唔錯，好夠味#wail#pig\n反而飯係比較差#wail#pig\n痴埋一舊#wail#pig\n有脷有菜有飯#wail#pig\n又是健康嘅一餐#wail#pig\n食完個吊鐘好C伏#wail#pig
慘過番印度,衰妹愈大愈有女人味...,是#wail#pig
慘過番印度,是靚午 秦式三餸飯,秦式三餸飯#wail#pig\n（$47）#wail#pig\n\n講吓味道先#wail#pig\n三餸叫咗豬頸肉，炸髀，肉片炒菜#wail#pig\n豬頸肉鐵膽唔使講#wail#pig\n炸髀見佢啱啱拎出嚟#wail#pig\n麵衣食落仲係香脆#wail#pig\n但應該唔係生炸，肉質唔算嫩滑多汁#wail#pig\n炒菜有驚喜，好夠鑊氣，菜都好爽脆#wail#pig\n似酒樓味嘅炒菜#wail#pig\n有肉有菜有飯#wail#pig\n又是健康嘅一餐#wail#pig\n食完個荷包好C伏#wail#pig#wail#pig
慘過番印度,想將雯雯啲ig story整合做一本書出版,是#wail#pig
慘過番印度,是靚午 桂花海皇炒粉絲,桂花海皇炒粉絲#wail#pig\n（$58）#wail#pig\n\n講吓味道先#wail#pig\n即叫即炒熱辣辣#wail#pig\n炒得很夠味#wail#pig\n肉質彈牙新鮮#wail#pig\n有肉有菜有粉#wail#pig\n又是健康嘅一餐#wail#pig\n食完個臼齒好C伏#wail#pig
慘過番印度,發現咗個香港妹豬幾靚女,是#wail#pig
慘過番印度,是靚午 照燒雞扒定食,照燒雞扒定食#wail#pig\n（$58）#wail#pig\n\n講吓味道先#wail#pig\n雞扒燒到個皮微脆#wail#pig\n肉質很嫩#wail#pig\n照燒汁很入味#wail#pig\n很好吃#wail#pig\n有肉有飯有湯有強有果#wail#pig\n又是健康嘅一餐#wail#pig\n食完個鼻甲好C伏#wail#pig
慘過番印度,呢個台妹好頂,是#wail#pig
慘過番印度,日本pizza hut推出「二郎系pizza」！,是？#wail#pig
